,f,a
0,-1100000.0,426.99902562112044
1,-1098925.78125,440.23723973730773
2,-1097851.5625,435.77357659430726
3,-1096777.34375,432.3946180817832
4,-1095703.125,437.97529740147854
5,-1094628.90625,432.6040668743342
6,-1093554.6875,429.660798923647
7,-1092480.46875,435.728179177271
8,-1091406.25,438.5782043873475
9,-1090332.03125,437.30136012992597
10,-1089257.8125,433.7725887849701
11,-1088183.59375,427.78779226848155
12,-1087109.375,438.635663341195
13,-1086035.15625,437.29099580013053
14,-1084960.9375,432.08236191304934
15,-1083886.71875,432.56786583011683
16,-1082812.5,432.1382270638611
17,-1081738.28125,441.0797378294944
18,-1080664.0625,430.63025441836345
19,-1079589.84375,439.23490304740045
20,-1078515.625,435.03105400410385
21,-1077441.40625,442.51212416227355
22,-1076367.1875,436.78819287421226
23,-1075292.96875,434.9378389471605
24,-1074218.75,430.9838360407031
25,-1073144.53125,437.275023647058
26,-1072070.3125,437.34417410384714
27,-1070996.09375,440.4999460712496
28,-1069921.875,435.48650328568647
29,-1068847.65625,444.8013128907292
30,-1067773.4375,437.1737880234629
31,-1066699.21875,434.4712672438871
32,-1065625.0,441.51253973986377
33,-1064550.78125,435.3385004608696
34,-1063476.5625,441.6937914448313
35,-1062402.34375,442.1809564658235
36,-1061328.125,432.6358933918304
37,-1060253.90625,429.2856739629582
38,-1059179.6875,441.2396993250776
39,-1058105.46875,436.2611803594595
40,-1057031.25,443.56771431195625
41,-1055957.03125,440.46101434268456
42,-1054882.8125,441.70004261731475
43,-1053808.59375,441.751268028148
44,-1052734.375,445.4279876979622
45,-1051660.15625,446.07413009946913
46,-1050585.9375,449.4150175718273
47,-1049511.71875,449.0468365751733
48,-1048437.5,448.701477145892
49,-1047363.28125,447.92808272718304
50,-1046289.0625,447.8527937054543
51,-1045214.84375,453.1955283937276
52,-1044140.625,450.637857954137
53,-1043066.40625,454.47876667723443
54,-1041992.1875,460.9733311474383
55,-1040917.96875,447.7656022824552
56,-1039843.75,454.67060427112875
57,-1038769.53125,463.05232067922486
58,-1037695.3125,451.7196222024638
59,-1036621.09375,457.95104438257647
60,-1035546.875,466.09443960615164
61,-1034472.65625,467.1062687044982
62,-1033398.4375,464.83215338768593
63,-1032324.21875,471.6020660070584
64,-1031250.0,482.7075989487484
65,-1030175.78125,535.2446485150789
66,-1029101.5625,606.4234346436625
67,-1028027.34375,488.9223797574218
68,-1026953.125,480.8462888644253
69,-1025878.90625,477.7476626432585
70,-1024804.6875,480.2365948710681
71,-1023730.46875,481.75307259562817
72,-1022656.25,483.24638396729483
73,-1021582.03125,490.7831531319567
74,-1020507.8125,486.9048402819205
75,-1019433.59375,494.9765029852583
76,-1018359.375,495.50341798487773
77,-1017285.15625,491.63642580327746
78,-1016210.9375,488.11296333571795
79,-1015136.71875,492.2201112810723
80,-1014062.5,502.72954520588115
81,-1012988.28125,500.3026920523269
82,-1011914.0625,503.8976888223243
83,-1010839.84375,504.36444509530224
84,-1009765.625,506.48658704920217
85,-1008691.40625,511.79643447803596
86,-1007617.1875,514.8565212354011
87,-1006542.96875,511.7164777112859
88,-1005468.75,509.013925846001
89,-1004394.53125,517.8862304056397
90,-1003320.3125,514.1385617203437
91,-1002246.09375,517.8833263659949
92,-1001171.875,521.5034705782097
93,-1000097.65625,526.7937626814416
94,-999023.4375,530.4617289532044
95,-997949.21875,526.3253442946411
96,-996875.0,530.7478342927151
97,-995800.78125,535.4295794274526
98,-994726.5625,544.4767241053097
99,-993652.34375,538.9840478600354
100,-992578.125,538.8805431062038
101,-991503.90625,539.957168692206
102,-990429.6875,541.7254150480677
103,-989355.46875,544.7926132724762
104,-988281.25,548.5402944371166
105,-987207.03125,551.1357337749737
106,-986132.8125,554.6457840144706
107,-985058.59375,554.9396918068406
108,-983984.375,556.8152661780621
109,-982910.15625,566.0504437122339
110,-981835.9375,569.6144030354575
111,-980761.71875,554.8733999568393
112,-979687.5,566.238894571259
113,-978613.28125,578.54855563969
114,-977539.0625,571.637372177043
115,-976464.84375,575.7740124822818
116,-975390.625,579.517658355719
117,-974316.40625,572.904985522445
118,-973242.1875,583.7224267694628
119,-972167.96875,587.6398246613549
120,-971093.75,591.4191575909344
121,-970019.53125,584.4258338518699
122,-968945.3125,604.2294677499359
123,-967871.09375,603.3365463558005
124,-966796.875,604.4906234497306
125,-965722.65625,611.2901481966028
126,-964648.4375,603.7034142176233
127,-963574.21875,610.1094179365728
128,-962500.0,611.9699234872569
129,-961425.78125,616.4820823532006
130,-960351.5625,626.356936197873
131,-959277.34375,621.0918945957653
132,-958203.125,620.581911545106
133,-957128.90625,634.7396812615905
134,-956054.6875,639.4239140633254
135,-954980.46875,634.0195920751023
136,-953906.25,641.2658445835579
137,-952832.03125,648.8515914749701
138,-951757.8125,641.2050720054979
139,-950683.59375,658.4243976630455
140,-949609.375,644.2798462730626
141,-948535.15625,660.1015527261784
142,-947460.9375,649.2981921327628
143,-946386.71875,664.8615351263225
144,-945312.5,661.6300193248253
