,Plus,Minus
0,(2048+2048j),(-4608-4608j)
1,(4608+4352j),(-4096-4608j)
2,(5632+5120j),(-2048-2048j)
3,(1792+1792j),(-3584-3840j)
4,(2816+2560j),(-3072-2816j)
5,(3072+3072j),(-768-768j)
6,(256+256j),(-1280-1792j)
7,(1024+768j),(2048+1792j)
8,(512+512j),(-2304-2048j)
9,(-768-1024j),(256+0j)
10,(-1536-1792j),(-256+0j)
11,(-2048-1792j),(3328+3072j)
12,(-2816-2560j),(2304+2048j)
13,(-3072-3328j),(3584+3328j)
14,(-3584-3328j),(6912+6144j)
15,(-4352-4096j),(1536+1280j)
16,(-3840-4352j),(4096+4096j)
17,(-4096-4096j),(5888+5120j)
18,(-3840-3584j),(1024+1024j)
19,(-1280-2304j),(3072+3072j)
20,(-2560-2560j),-512j
21,(-1792-1536j),(1024+1024j)
22,(768-512j),(2816+2304j)
23,(-768-512j),(-3328-3584j)
24,(1280+1280j),(-1280-768j)
25,(1024+256j),(768+0j)
26,(1280+1280j),(-2816-2560j)
27,(4608+4096j),(-3072-2816j)
28,(1024+512j),(-3584-4096j)
29,(3328+3072j),(-3328-3072j)
30,(6400+5888j),(-3840-4352j)
31,(1792+1792j),(-4864-4864j)
32,(4352+4096j),(-3840-3584j)
33,(6144+5888j),(-3328-3584j)
34,(512+768j),(-768-512j)
35,(2560+2304j),(-3584-3328j)
36,(4608+4352j),(-1792-2048j)
37,(-1792-1280j),(2816+2560j)
38,(256+256j),(-1280-1536j)
39,(2816+2816j),(1280+1280j)
40,(-3072-2560j),(256+0j)
41,(-1792-2048j),(1536+1280j)
42,(768+768j),(6144+5376j)
43,(-3584-3328j),(-256+0j)
44,(-3328-3584j),(3584+3328j)
45,(-2048-1792j),(5888+5376j)
46,(-4352-4352j),(3072+3072j)
47,(-4608-4608j),(5888+5376j)
48,(-3584-3584j),(1280+1024j)
49,(-2816-3584j),(3072+3072j)
50,(-4096-4352j),(5376+4608j)
51,(-2304-2048j),(-2048-2304j)
52,(768+0j),(768+1024j)
53,(-3072-3328j),(2304+1280j)
54,(-512-256j),(-1024-768j)
55,(4096+3328j),(-512+0j)
56,(-2048-2048j),(-2816-3328j)
57,(1280+1536j),(-1792-1536j)
58,(5888+5120j),(-512-1280j)
59,(-512-512j),(-4352-4352j)
60,(3328+3328j),(-3840-3328j)
61,(6400+5632j),(-3840-4352j)
62,(2048+1792j),(-3584-3328j)
63,(4608+4352j),(-4864-4608j)
64,(5632+5376j),(-3840-3840j)
65,(1792+1792j),(-768-512j)
66,(2560+2560j),(-2304-2560j)
