,Plus,Minus
0,-2816j,-3328j
1,(3328+512j),(1024-2304j)
2,(5888+3328j),(-2560-3840j)
3,(2560-1536j),(-1024-3072j)
4,(4608+2304j),(768-4352j)
5,(5120+4864j),(-3840-4608j)
6,(2304+0j),(-3072-2304j)
7,(3072+3584j),(-2304-3328j)
8,(2304+5376j),(-3328-1280j)
9,(768+2048j),(-4608-2816j)
10,(256+2048j),(-4352-2304j)
11,(256+2816j),(-4096-1280j)
12,(-1280+3584j),(-2304+3072j)
13,(-1536+768j),(-2304-256j)
14,(-1536+1024j),(512+3072j)
15,(-3072+1536j),(-2816+512j)
16,(-3072-768j),(-768+2048j)
17,(-3072-512j),(4352+5632j)
18,(-4608-512j),(-1024+1280j)
19,(-3840-2304j),(2304+4096j)
20,(-4096-2048j),(1536+4608j)
21,(-3840-2560j),(2560+2560j)
22,(-1536-3584j),(6400+4352j)
23,(-2304-3584j),(1024-512j)
24,(-1536-4096j),(4608+2304j)
25,-4096j,(6400+3328j)
26,(-512-3840j),(2304-2560j)
27,(1536-3072j),(4352+512j)
28,(256-2048j),(768-256j)
29,(1536-2048j),(2048-1280j)
30,(4864-512j),(4096-1024j)
31,(256-256j),(-2816-3584j)
32,(3328+0j),(-256-2304j)
33,(6400+2048j),(1792-3072j)
34,(1792+256j),(-2304-4352j)
35,(4352+1792j),(-2048-4096j)
36,(6400+4352j),(-2816-4352j)
37,(256+768j),(-2560-2048j)
38,(2560+3328j),(-2304-3584j)
39,(4864+5632j),(-4864-2816j)
40,(-1792+1792j),(-4352+768j)
41,(512+3328j),(-4096-1792j)
42,(3072+5120j),(-2560+1024j)
43,(-3072+512j),(-4352-1024j)
44,(-1792+1536j),(-2816+0j)
45,(768+3584j),(1280+4608j)
46,(-3584-1280j),(-2048-512j)
47,(-3328-512j),2304j
48,(-2304+2048j),(-512+3840j)
49,(-4096-2560j),(512+2816j)
50,(-4864-2560j),(5120+5632j)
51,(-3840+0j),(-1024+1792j)
52,(-2560-3328j),(2304+3840j)
53,(-4352-3584j),(5632+5120j)
54,(-2304-2560j),(2816-512j)
55,(1024-4096j),(6144+2304j)
56,(-3072-4608j),(1792+1024j)
57,(-512-3328j),(4096+768j)
58,(4096-2816j),(6144+1536j)
59,(-2048-3840j),(-768-3072j)
60,(1280-1536j),(1792-512j)
61,(5632+512j),(3072-256j)
62,-2816j,-3328j
63,(3328+512j),(1024-2304j)
64,(5888+3328j),(-2304-3840j)
65,(2560-1792j),(-1024-3328j)
66,(4608+2304j),(768-4352j)
67,(5120+4864j),(-3840-4608j)
68,(2304+0j),(-2816-2304j)
69,(3072+3840j),(-2304-3328j)
70,(2304+5376j),(-3328-1280j)
71,(768+2048j),(-4608-2816j)
72,(1280+3840j),(-4608-1792j)
73,4608j,(-2560+2816j)
74,(-768+1280j),(-3328-1792j)
75,(-768+2048j),(-2304+256j)
76,(-2304+2560j),(-2816+2048j)
77,(-2304+0j),(-1536+1024j)
78,(-2304+256j),(3072+4864j)
79,(-4096+512j),(-2304+768j)
80,(-3584-1536j),3328j
81,(-4096-1536j),(3584+5888j)
82,(-4608-1536j),(1024+2048j)
83,(-3072-2816j),(4864+4352j)
84,(-3328-2816j),(256+2048j)
85,(-2816-3328j),(3584+2816j)
86,(-768-4096j),(6912+3840j)
87,(-1536-4096j),(1536-1792j)
88,-3840j,(4352+1280j)
89,(256-3328j),(4096+2048j)
90,(512-3072j),(2560-2048j)
91,(3328-1792j),(4352-256j)
92,(256-1024j),(-1536-2560j)
93,(2304-1280j),(1024-1280j)
94,(5888+768j),(3584-2048j)
95,(1024+0j),(-3072-4352j)
96,(4096+1024j),(-1280-3328j)
97,(6656+3328j),(-512-4352j)
98,(1536+512j),(-1792-3584j)
99,(3584+2816j),(-2048-4352j)
100,(5632+5120j),(-4096-3584j)
101,(-768+1536j),(-3328+0j)
102,(1536+3840j),(-3584-2816j)
103,(3840+5632j),(-4352-1536j)
104,(-2560+1536j),(-4608+0j)
105,(-768+2560j),(-3328-1024j)
106,(2048+4352j),3328j
107,(-3328-512j),(-3328-1024j)
108,(-2816+512j),(-1792+1024j)
109,(-512+2816j),(1024+4864j)
110,(-3840-2048j),(-512+1280j)
111,(-4096-1536j),(2816+4352j)
112,(-3584+1024j),(-1536+2304j)
113,(-4096-2816j),(1280+3584j)
114,(-4864-3072j),(6144+5376j)
115,(-3072-1280j),(512+256j)
116,(-768-3840j),(4096+3072j)
117,(-3840-4352j),(3840+3584j)
118,(-1536-3584j),(4096+256j)
119,(2816-4096j),(6656+2048j)
120,(-2560-4352j),(768-1792j)
121,(256-2560j),(3072+512j)
122,(5120-1024j),(5376+768j)
123,(-1280-3328j),(-768-3584j)
124,(2304-512j),(1280-1280j)
125,(5888+2048j),-2048j
126,(1280-2304j),-2816j
127,(4352+1536j),(1024-3584j)
128,(5632+4352j),(-3584-4352j)
129,(2560-1024j),(-2048-3072j)
130,(4096+3072j),(-256-4096j)
131,(3840+5120j),(-3328-3584j)
132,(1536+1280j),(-3840-2560j)
133,(2304+4096j),(-4096-2816j)
134,(1024+5376j),(-3584+1280j)
135,(256+2048j),(-4352-2304j)
136,(256+2816j),(-4096-1024j)
137,(-1280+3584j),(-2048+3072j)
138,(-1536+768j),(-2304-256j)
139,(-1536+1024j),(512+2816j)
140,(-3072+1536j),(-2816+512j)
141,(-3072-768j),(-768+2304j)
142,(-3072-512j),(4352+5632j)
143,(-4352-512j),(-1024+1280j)
144,(-4096-2304j),(2048+4096j)
145,(-4096-2304j),(1792+4864j)
146,(-3840-2560j),(2560+2560j)
147,(-1792-3584j),(6400+4608j)
148,(-2304-3584j),(1024-512j)
149,(-1536-4096j),(4608+2304j)
150,-4096j,(6400+3328j)
151,(-512-3840j),(2304-2560j)
152,(1536-2816j),(4096+512j)
153,(256-2048j),(1024-256j)
154,(1536-2048j),(2048-1024j)
155,(4864-512j),(4096-1024j)
156,(256-512j),(-2816-3584j)
157,(3328-256j),(-256-2048j)
158,(6400+2048j),(2048-3072j)
159,(1792+256j),(-2304-4352j)
160,(4352+1792j),(-2048-4096j)
161,(6144+4608j),(-2816-4352j)
162,(256+768j),(-2560-2048j)
163,(2560+3328j),(-2304-3584j)
164,(4864+5376j),(-4864-2816j)
165,(-1792+1792j),(-4352+768j)
166,(256+3328j),(-4096-1792j)
167,(3072+5120j),(-2304+1024j)
168,(-3072+512j),(-4352-1024j)
169,(-1792+1536j),(-2816+0j)
170,(768+3584j),(1280+4608j)
171,(-3584-1280j),(-2048-512j)
172,(-3328-512j),2304j
173,(-2048+1792j),(-256+3840j)
174,(-4096-2560j),(512+2816j)
175,(-4864-2304j),(5120+5632j)
176,(-3840+0j),(-1024+1792j)
177,(-2560-3328j),(2560+3840j)
178,(-4352-3584j),(5632+5120j)
179,(-2304-2560j),(2816-512j)
180,(1024-4096j),(6144+2304j)
181,(-3328-4608j),(2048+1024j)
