,f,a
0,-1100000.0,224.056395416319
1,-1098925.78125,221.80142147832768
2,-1097851.5625,220.48174136453946
3,-1096777.34375,221.98632214137024
4,-1095703.125,218.1411194185323
5,-1094628.90625,220.037915215692
6,-1093554.6875,214.62858667704865
7,-1092480.46875,221.41629917194584
8,-1091406.25,223.36934086167943
9,-1090332.03125,224.1290328191904
10,-1089257.8125,219.62537654615423
11,-1088183.59375,220.07345533667115
12,-1087109.375,221.52913604412498
13,-1086035.15625,219.07978168040822
14,-1084960.9375,221.45614543153403
15,-1083886.71875,220.64275108503605
16,-1082812.5,221.44934334137267
17,-1081738.28125,223.4966993695942
18,-1080664.0625,222.46431856706963
19,-1079589.84375,225.76047201685714
20,-1078515.625,222.9408946996767
21,-1077441.40625,225.74840377001635
22,-1076367.1875,226.11894161010468
23,-1075292.96875,223.69531980462847
24,-1074218.75,222.93102946647713
25,-1073144.53125,224.32976448318433
26,-1072070.3125,221.97031321855783
27,-1070996.09375,225.3218118628128
28,-1069921.875,222.44654157846122
29,-1068847.65625,226.80490120069538
30,-1067773.4375,228.01899262045222
31,-1066699.21875,225.56434585807375
32,-1065625.0,232.14145219347645
33,-1064550.78125,225.4755743207866
34,-1063476.5625,232.33433099843646
35,-1062402.34375,228.24020154312527
36,-1061328.125,232.24372984965817
37,-1060253.90625,232.8161205909594
38,-1059179.6875,227.5941804221397
39,-1058105.46875,234.73777164696912
40,-1057031.25,234.32932670702633
41,-1055957.03125,231.10139582527256
42,-1054882.8125,237.93260399291924
43,-1053808.59375,237.8557134408107
44,-1052734.375,236.74763911903727
45,-1051660.15625,239.46025907586608
46,-1050585.9375,237.73401031016172
47,-1049511.71875,238.75580890963548
48,-1048437.5,240.43755139700374
49,-1047363.28125,238.57447526537678
50,-1046289.0625,244.85445276434916
51,-1045214.84375,239.71626319044645
52,-1044140.625,234.56863674798072
53,-1043066.40625,241.49335775508214
54,-1041992.1875,241.36062107760864
55,-1040917.96875,243.60052679580198
56,-1039843.75,244.43319049840574
57,-1038769.53125,248.37483727116677
58,-1037695.3125,247.06506265527216
59,-1036621.09375,249.61738369181617
60,-1035546.875,247.12502964305537
61,-1034472.65625,248.39325140218168
62,-1033398.4375,251.47627539757858
63,-1032324.21875,253.15157815555017
64,-1031250.0,252.0754203559718
65,-1030175.78125,256.974650174977
66,-1029101.5625,260.01537304950983
67,-1028027.34375,253.9220023805941
68,-1026953.125,251.5648746726792
69,-1025878.90625,257.4953458257022
70,-1024804.6875,258.4826448892555
71,-1023730.46875,255.66954618869224
72,-1022656.25,265.0677651603735
73,-1021582.03125,262.36648559490766
74,-1020507.8125,262.16164826378053
75,-1019433.59375,266.09817886218724
76,-1018359.375,263.7855126544981
77,-1017285.15625,266.61592294045937
78,-1016210.9375,266.1760070377194
79,-1015136.71875,271.526383890576
80,-1014062.5,274.8853789752202
81,-1012988.28125,276.7055708787902
82,-1011914.0625,274.66623587761666
83,-1010839.84375,272.7216178251626
84,-1009765.625,277.51511273119456
85,-1008691.40625,278.6017415925637
86,-1007617.1875,276.79793335978144
87,-1006542.96875,277.673632968069
88,-1005468.75,274.6165999872789
89,-1004394.53125,285.5058730898176
90,-1003320.3125,283.1026770807192
91,-1002246.09375,288.6548487662473
92,-1001171.875,288.97203710368194
93,-1000097.65625,290.0786610450713
94,-999023.4375,292.86788113791107
95,-997949.21875,291.58120460014226
96,-996875.0,292.61994115374534
97,-995800.78125,294.9880178508235
98,-994726.5625,293.7344185031695
99,-993652.34375,303.20659533784914
100,-992578.125,300.34500520846717
101,-991503.90625,297.0550556954363
102,-990429.6875,301.43325353932346
103,-989355.46875,300.7066975347915
104,-988281.25,299.1849123809116
105,-987207.03125,303.71254629367655
106,-986132.8125,308.14438383116016
107,-985058.59375,314.87174789059833
108,-983984.375,311.0764297387609
109,-982910.15625,318.95144036773235
110,-981835.9375,317.668962464929
111,-980761.71875,316.29201213452575
112,-979687.5,320.5998835726945
113,-978613.28125,326.39070030992355
114,-977539.0625,322.709439554936
115,-976464.84375,323.15762396730094
116,-975390.625,325.0671384885654
117,-974316.40625,328.17271696430896
118,-973242.1875,324.14884500913246
119,-972167.96875,331.0201510449881
120,-971093.75,327.38750948372854
121,-970019.53125,329.8346988705252
122,-968945.3125,337.405832730091
123,-967871.09375,339.4034701747709
124,-966796.875,333.89935261295943
125,-965722.65625,343.62403113352485
126,-964648.4375,339.0547204563896
127,-963574.21875,343.58781084127185
128,-962500.0,343.63052462506187
129,-961425.78125,344.38311221974016
130,-960351.5625,346.78788191776425
131,-959277.34375,347.04569726000426
132,-958203.125,352.69148654747676
133,-957128.90625,357.81209992206607
134,-956054.6875,353.56637013174884
135,-954980.46875,357.04322611140896
136,-953906.25,358.60541965128635
137,-952832.03125,356.7029670425592
138,-951757.8125,361.57347369363515
139,-950683.59375,364.14562612439533
140,-949609.375,366.12803392576615
141,-948535.15625,361.5745221240412
142,-947460.9375,360.5757840550532
143,-946386.71875,370.07542748596677
144,-945312.5,371.64244633419275
145,-944238.28125,380.16251441717816
146,-943164.0625,379.62888913484795
147,-942089.84375,379.0593481080678
148,-941015.625,383.96041096696246
149,-939941.40625,386.9815432689306
150,-938867.1875,385.6450765740421
151,-937792.96875,380.27704629683603
152,-936718.75,385.89023505102944
153,-935644.53125,385.7254492527736
154,-934570.3125,397.55829777570483
155,-933496.09375,386.5224232206589
156,-932421.875,389.0275271664973
157,-931347.65625,393.84815571999854
158,-930273.4375,402.87999048747986
159,-929199.21875,395.7671242462727
160,-928125.0,407.4959211779767
161,-927050.78125,402.7818765179154
162,-925976.5625,405.22963304425224
163,-924902.34375,407.0518637471692
164,-923828.125,413.3081758363304
165,-922753.90625,408.3672893200813
166,-921679.6875,412.94759314207954
167,-920605.46875,417.15875192902536
168,-919531.25,420.52032929745036
169,-918457.03125,423.35971239403796
170,-917382.8125,415.6605435615189
171,-916308.59375,420.6446668514857
172,-915234.375,430.023209574633
173,-914160.15625,419.77012810365886
174,-913085.9375,433.878156434673
175,-912011.71875,433.6118557218846
176,-910937.5,426.03079454927894
177,-909863.28125,451.70654887370625
178,-908789.0625,436.94518802444423
179,-907714.84375,442.4270377366538
180,-906640.625,446.2883457557166
181,-905566.40625,444.5198330186192
182,-904492.1875,448.5144294312477
183,-903417.96875,448.9225263316052
184,-902343.75,454.9652304712442
185,-901269.53125,459.80170838581336
186,-900195.3125,448.53639481882834
187,-899121.09375,454.80282475646374
188,-898046.875,456.5641385727786
189,-896972.65625,462.1403839125444
190,-895898.4375,456.86379763107607
191,-894824.21875,458.9978200699728
192,-893750.0,470.07443272807666
193,-892675.78125,470.05977562123434
194,-891601.5625,470.12612237635705
195,-890527.34375,472.79762427942836
196,-889453.125,470.53076491193957
197,-888378.90625,475.1514322007331
198,-887304.6875,484.2205262690141
199,-886230.46875,481.3530542677802
200,-885156.25,479.9284643010841
201,-884082.03125,476.857690941922
202,-883007.8125,487.6004065119454
203,-881933.59375,486.77082028278596
204,-880859.375,479.38745213563453
205,-879785.15625,483.70097553771836
206,-878710.9375,489.43768808099486
207,-877636.71875,490.9206551051637
208,-876562.5,490.7348074652529
209,-875488.28125,505.0463826581901
210,-874414.0625,499.88865169324316
211,-873339.84375,505.8361955314843
212,-872265.625,500.0382654104464
213,-871191.40625,512.0947487326999
214,-870117.1875,516.7556840215475
215,-869042.96875,505.54701115058333
216,-867968.75,513.2497778499812
217,-866894.53125,516.8664834293918
218,-865820.3125,522.9206062986342
219,-864746.09375,519.7594891580286
220,-863671.875,517.6864775855397
221,-862597.65625,529.8570871182202
222,-861523.4375,526.2141388174508
223,-860449.21875,527.923682822273
224,-859375.0,524.6463798571247
225,-858300.78125,530.5330409992367
226,-857226.5625,528.8105421859691
227,-856152.34375,532.7470972476934
228,-855078.125,538.4271196228799
229,-854003.90625,541.2431328032453
230,-852929.6875,541.7694734943136
231,-851855.46875,553.3120650569194
232,-850781.25,537.4701698230916
233,-849707.03125,547.031845537087
234,-848632.8125,549.8279285178232
235,-847558.59375,545.9286076821264
236,-846484.375,556.1879952639393
237,-845410.15625,558.6652876370557
238,-844335.9375,564.9169575552019
239,-843261.71875,556.1680540939578
240,-842187.5,552.9811019773656
241,-841113.28125,560.364931135943
242,-840039.0625,569.6749401157751
243,-838964.84375,561.6272301855939
244,-837890.625,561.9628571111818
245,-836816.40625,569.6851507455701
246,-835742.1875,564.7964868049713
247,-834667.96875,580.5254961568787
248,-833593.75,571.5227028956981
249,-832519.53125,575.2716526734033
250,-831445.3125,577.2727873545962
251,-830371.09375,583.1829542632921
252,-829296.875,564.9781829300367
253,-828222.65625,571.3008789705634
254,-827148.4375,593.0271078749818
255,-826074.21875,576.3927316556908
256,-825000.0,562.3450220233982
257,-823925.78125,584.7896808755214
258,-822851.5625,578.2514535349624
259,-821777.34375,590.0191662577171
260,-820703.125,584.099806745594
261,-819628.90625,594.5403040534843
262,-818554.6875,608.7051746022488
263,-817480.46875,587.8832875321483
264,-816406.25,602.5935137949804
265,-815332.03125,609.2919422663443
266,-814257.8125,603.3777469197508
267,-813183.59375,594.077214724076
268,-812109.375,605.9397565388932
269,-811035.15625,593.9019683233187
270,-809960.9375,614.0407590766882
271,-808886.71875,608.608256559631
272,-807812.5,606.5370247591562
273,-806738.28125,611.2492510156432
274,-805664.0625,608.8819131700131
275,-804589.84375,615.6175326481003
276,-803515.625,612.5084863083707
277,-802441.40625,620.2890130381194
278,-801367.1875,613.2865841275094
279,-800292.96875,613.0682931803767
280,-799218.75,617.8528106427324
281,-798144.53125,618.7442551280996
282,-797070.3125,616.8436834310974
283,-795996.09375,624.0576586639331
284,-794921.875,627.262592136133
285,-793847.65625,616.5395660689602
286,-792773.4375,629.8392834571787
287,-791699.21875,623.3860623423221
288,-790625.0,633.2682841035506
289,-789550.78125,641.9749599376303
290,-788476.5625,635.1959316744053
291,-787402.34375,634.4983257886582
292,-786328.125,638.1834695872412
293,-785253.90625,638.8474891380615
294,-784179.6875,634.0873566715168
295,-783105.46875,633.9932907334046
296,-782031.25,647.5341801041815
297,-780957.03125,657.8756071906628
298,-779882.8125,644.0711777826357
299,-778808.59375,642.7850554213471
300,-777734.375,644.6022134100309
301,-776660.15625,639.1994776384772
302,-775585.9375,643.513494687832
303,-774511.71875,653.3468422124387
304,-773437.5,652.9335729847393
305,-772363.28125,657.1344013750933
306,-771289.0625,641.0149411976976
307,-770214.84375,653.4308650937859
308,-769140.625,653.0694831737048
309,-768066.40625,652.9964932828539
310,-766992.1875,654.3357528283032
311,-765917.96875,662.9817031893498
312,-764843.75,651.7155577994197
313,-763769.53125,652.660952330441
314,-762695.3125,669.2712903621424
315,-761621.09375,657.0134282072872
316,-760546.875,660.2718581909918
317,-759472.65625,661.224895437329
318,-758398.4375,652.2778160714571
319,-757324.21875,650.5159653607728
320,-756250.0,653.7959065071481
321,-755175.78125,672.568990426339
322,-754101.5625,677.0489563194577
323,-753027.34375,674.315058107486
324,-751953.125,660.764584176308
325,-750878.90625,672.6728617824758
326,-749804.6875,672.1525889459369
327,-748730.46875,669.8192388100101
328,-747656.25,672.0880488981784
329,-746582.03125,673.3208833299191
330,-745507.8125,673.2200634326052
331,-744433.59375,683.2164288539761
332,-743359.375,677.6347498527152
333,-742285.15625,671.3340026265907
334,-741210.9375,681.7589433424433
335,-740136.71875,667.0077373009858
336,-739062.5,680.6819799015908
337,-737988.28125,674.4416209952886
338,-736914.0625,676.0510408579379
339,-735839.84375,690.6435169488927
340,-734765.625,674.2322305351997
341,-733691.40625,665.416234654355
342,-732617.1875,682.584106151118
343,-731542.96875,675.0118512139243
344,-730468.75,681.5674488345587
345,-729394.53125,692.8452978101247
346,-728320.3125,680.9948301087999
347,-727246.09375,686.9431378023006
348,-726171.875,684.0635026008035
349,-725097.65625,684.8912422191049
350,-724023.4375,693.8668326208934
351,-722949.21875,698.5805331147845
352,-721875.0,683.9558863058111
353,-720800.78125,688.483177048455
354,-719726.5625,694.0754651649485
