,f,a
0,-1100000.0,225.46118982744832
1,-1098925.78125,226.6306273726974
2,-1097851.5625,228.26847203361754
3,-1096777.34375,222.61382749710893
4,-1095703.125,230.55210423800145
5,-1094628.90625,225.47582849170038
6,-1093554.6875,223.90670928193765
7,-1092480.46875,226.43172971787817
8,-1091406.25,228.55190410604294
9,-1090332.03125,228.63116506930032
10,-1089257.8125,227.17696347297692
11,-1088183.59375,222.89847323345217
12,-1087109.375,231.23499211188275
13,-1086035.15625,224.03116693532098
14,-1084960.9375,227.43420707725474
15,-1083886.71875,226.00162451654384
16,-1082812.5,227.72630661350107
17,-1081738.28125,226.93810123735167
18,-1080664.0625,225.4011818641513
19,-1079589.84375,228.79923001067857
20,-1078515.625,227.59712387232474
21,-1077441.40625,229.8206438406805
22,-1076367.1875,228.39623720741952
23,-1075292.96875,229.77131996893263
24,-1074218.75,232.82440532555304
25,-1073144.53125,230.63754460995565
26,-1072070.3125,229.68440845674183
27,-1070996.09375,234.78486421711548
28,-1069921.875,237.76059053321708
29,-1068847.65625,233.3953661138236
30,-1067773.4375,235.02507023343915
31,-1066699.21875,232.28392473745424
32,-1065625.0,237.74636531154835
33,-1064550.78125,234.59975098538933
34,-1063476.5625,234.1673484381032
35,-1062402.34375,234.01798296219684
36,-1061328.125,237.61276173672536
37,-1060253.90625,238.49129180828947
38,-1059179.6875,239.1413581606961
39,-1058105.46875,241.6177255717218
40,-1057031.25,243.0901256944004
41,-1055957.03125,240.3549949614994
42,-1054882.8125,239.47201731612967
43,-1053808.59375,238.0053312701072
44,-1052734.375,245.00506146880716
45,-1051660.15625,243.67750086445812
46,-1050585.9375,244.7153842137718
47,-1049511.71875,243.70301359776218
48,-1048437.5,244.21405195990494
49,-1047363.28125,243.91530245039087
50,-1046289.0625,253.27770215067784
51,-1045214.84375,248.90584316711872
52,-1044140.625,248.03486059341586
53,-1043066.40625,248.25060796654049
54,-1041992.1875,246.97296035657422
55,-1040917.96875,251.46460433865968
56,-1039843.75,248.77976514228163
57,-1038769.53125,255.7054636765951
58,-1037695.3125,254.24786223974382
59,-1036621.09375,255.31974876160342
60,-1035546.875,256.3905177504688
61,-1034472.65625,258.01878818503076
62,-1033398.4375,255.82983847499386
63,-1032324.21875,263.2102045502552
64,-1031250.0,258.5510357221715
65,-1030175.78125,268.3736338921228
66,-1029101.5625,283.7237808410666
67,-1028027.34375,263.0559309770746
68,-1026953.125,265.48379901955735
69,-1025878.90625,273.617941492641
70,-1024804.6875,265.52148156953194
71,-1023730.46875,269.7710173439068
72,-1022656.25,269.2554230049952
73,-1021582.03125,271.9373211272086
74,-1020507.8125,271.4767818109788
75,-1019433.59375,273.145241217061
76,-1018359.375,278.1553083117694
77,-1017285.15625,278.4970946992687
78,-1016210.9375,277.08203600584505
79,-1015136.71875,277.610502833049
80,-1014062.5,277.1050877554526
81,-1012988.28125,281.0617802251863
82,-1011914.0625,280.4379798869318
83,-1010839.84375,282.1687126877482
84,-1009765.625,284.53992390767786
85,-1008691.40625,287.15843735023384
86,-1007617.1875,291.52708260964204
87,-1006542.96875,289.3768299208912
88,-1005468.75,291.27609680260485
89,-1004394.53125,298.8004351245752
90,-1003320.3125,299.1288991923218
91,-1002246.09375,288.2745594301607
92,-1001171.875,300.4635350653666
93,-1000097.65625,298.94128244873696
94,-999023.4375,302.1730885525198
95,-997949.21875,301.7049749729761
96,-996875.0,297.5393839327549
97,-995800.78125,303.82283845458414
98,-994726.5625,303.50483994267944
99,-993652.34375,307.28376986555304
100,-992578.125,311.12327012885174
101,-991503.90625,311.9135798100669
102,-990429.6875,312.6652310663192
103,-989355.46875,319.85319083157435
104,-988281.25,312.585058523384
105,-987207.03125,316.6684936056924
106,-986132.8125,318.95838906808643
107,-985058.59375,317.96996133922335
108,-983984.375,323.68214210467704
109,-982910.15625,322.3258797876612
110,-981835.9375,323.1863487212485
111,-980761.71875,324.0308781364599
112,-979687.5,323.45583428559905
113,-978613.28125,328.4161869668094
114,-977539.0625,324.8095568141183
115,-976464.84375,328.67817107414294
116,-975390.625,334.76738387909
117,-974316.40625,337.2458470624436
118,-973242.1875,341.53513201577266
119,-972167.96875,340.46200696787355
120,-971093.75,337.6779530454715
121,-970019.53125,340.10709624459884
122,-968945.3125,340.13080670191783
123,-967871.09375,346.3319064346249
124,-966796.875,347.9099307238348
125,-965722.65625,351.44781222203073
126,-964648.4375,354.9285433769983
127,-963574.21875,356.28234526240817
128,-962500.0,358.5161646580352
129,-961425.78125,357.59672716447676
130,-960351.5625,359.7882775836297
131,-959277.34375,356.0078303483244
132,-958203.125,360.4611368999297
133,-957128.90625,363.8308311245723
134,-956054.6875,365.6879859574238
135,-954980.46875,371.54645419615747
136,-953906.25,374.57031855470797
137,-952832.03125,372.3216696367992
138,-951757.8125,380.46890361043324
139,-950683.59375,372.7643724713113
140,-949609.375,378.46560229820705
141,-948535.15625,380.59296307656285
142,-947460.9375,381.76104167015217
143,-946386.71875,380.8112818537641
144,-945312.5,381.3724057482692
145,-944238.28125,385.1254317068416
146,-943164.0625,389.2208963676521
147,-942089.84375,386.30831034120604
148,-941015.625,396.36481103832006
149,-939941.40625,399.29622452693746
150,-938867.1875,390.9712914454248
151,-937792.96875,396.83276839790875
152,-936718.75,400.1430769807596
153,-935644.53125,403.73424749094926
154,-934570.3125,411.447238782631
155,-933496.09375,404.6011586318902
156,-932421.875,408.5036511200631
157,-931347.65625,417.62330725338256
158,-930273.4375,419.7170320417029
159,-929199.21875,415.54139108221955
160,-928125.0,415.1149938989185
161,-927050.78125,418.2210046765127
162,-925976.5625,420.3760175120485
163,-924902.34375,424.5829153792649
164,-923828.125,426.6478432209827
165,-922753.90625,419.50966536608234
166,-921679.6875,429.87869487912275
167,-920605.46875,433.9597473729439
168,-919531.25,429.55216521670536
169,-918457.03125,438.96535413321124
170,-917382.8125,438.4947731006407
171,-916308.59375,437.0736590859559
172,-915234.375,438.4863116834263
173,-914160.15625,437.5346222555877
174,-913085.9375,450.76095617285205
175,-912011.71875,449.53577621593655
176,-910937.5,443.007851233063
177,-909863.28125,449.57028385885724
178,-908789.0625,452.1766367946079
179,-907714.84375,458.37142733739597
180,-906640.625,460.2403252736905
181,-905566.40625,455.7160635670613
182,-904492.1875,462.33207957137097
183,-903417.96875,463.17845249652464
184,-902343.75,463.6179255877398
185,-901269.53125,461.61851464859967
186,-900195.3125,470.952794914705
187,-899121.09375,472.9054301594011
188,-898046.875,476.8574601353259
189,-896972.65625,467.2596791861687
190,-895898.4375,479.90729968253413
191,-894824.21875,478.4355197081999
192,-893750.0,482.25854399687915
193,-892675.78125,476.8858949808675
194,-891601.5625,475.51301365140284
195,-890527.34375,485.41761438758203
196,-889453.125,492.58859087578895
197,-888378.90625,484.1032998649124
198,-887304.6875,501.68817192720604
199,-886230.46875,492.5910421314824
200,-885156.25,502.8845368471491
201,-884082.03125,493.47338819951426
202,-883007.8125,503.9243676090916
203,-881933.59375,512.0725396679128
204,-880859.375,511.3553983528764
205,-879785.15625,514.7730412781725
206,-878710.9375,509.0415917348465
207,-877636.71875,515.2123228083238
208,-876562.5,509.90145545860275
209,-875488.28125,521.2205641340828
210,-874414.0625,524.9441795776137
211,-873339.84375,511.0214455307047
212,-872265.625,513.8337921139996
213,-871191.40625,509.84241109128584
214,-870117.1875,528.6876452658888
215,-869042.96875,518.7395849911611
216,-867968.75,517.7622453387711
217,-866894.53125,521.0510989697192
218,-865820.3125,534.4522096934434
219,-864746.09375,541.6425104755324
220,-863671.875,527.729502644319
221,-862597.65625,542.2588439054455
222,-861523.4375,538.6962715077134
223,-860449.21875,530.6999174761651
224,-859375.0,540.3278568899411
225,-858300.78125,550.4635209278659
226,-857226.5625,541.5660541358999
227,-856152.34375,552.7407096437346
228,-855078.125,543.4337229433289
229,-854003.90625,563.508547566275
230,-852929.6875,558.0659793902674
231,-851855.46875,565.0275794284744
232,-850781.25,555.5453492664285
233,-849707.03125,556.741999719649
234,-848632.8125,550.0507242020394
235,-847558.59375,570.8794110708119
236,-846484.375,560.2357986648811
237,-845410.15625,577.4649878756771
238,-844335.9375,578.965848049301
239,-843261.71875,577.310184222349
240,-842187.5,575.2000798460399
241,-841113.28125,587.2183999906072
242,-840039.0625,575.5821746935038
243,-838964.84375,588.5959199044528
244,-837890.625,570.7688592131963
245,-836816.40625,581.4456202297041
246,-835742.1875,581.622775894795
247,-834667.96875,583.2220284450491
248,-833593.75,582.9188852093573
249,-832519.53125,595.2431403631701
250,-831445.3125,602.5884014698715
251,-830371.09375,589.9644544416905
252,-829296.875,590.5204081876007
253,-828222.65625,591.2960002719261
254,-827148.4375,596.5354358591543
255,-826074.21875,590.2133139261668
256,-825000.0,605.8364935356219
257,-823925.78125,604.090857003038
258,-822851.5625,609.1790904286273
259,-821777.34375,612.3233575237407
260,-820703.125,605.8928523924673
261,-819628.90625,611.7531525676438
262,-818554.6875,606.3646068041188
263,-817480.46875,617.8777489360538
264,-816406.25,621.9802776436208
265,-815332.03125,626.4332829241271
266,-814257.8125,615.6712017809476
267,-813183.59375,613.6696965758821
268,-812109.375,618.4994866928646
269,-811035.15625,619.0299024590614
270,-809960.9375,628.3187164406801
271,-808886.71875,624.5423642198034
272,-807812.5,618.9859364744152
273,-806738.28125,622.7020028708915
274,-805664.0625,620.4057961904588
275,-804589.84375,627.2985803693363
276,-803515.625,627.6345014129515
277,-802441.40625,638.547198899487
278,-801367.1875,631.7881429728295
279,-800292.96875,636.373481794554
280,-799218.75,637.7874969520794
281,-798144.53125,638.4564130994972
282,-797070.3125,641.158643737274
283,-795996.09375,650.0301705506978
284,-794921.875,644.6914484466643
285,-793847.65625,648.036066612567
286,-792773.4375,648.7912919733056
287,-791699.21875,638.8788398511772
288,-790625.0,649.0109227943699
289,-789550.78125,651.9489497746184
290,-788476.5625,659.0471690984668
291,-787402.34375,665.2892647364044
292,-786328.125,644.0897493340593
293,-785253.90625,654.6948069641043
294,-784179.6875,664.402829418126
295,-783105.46875,659.2454192123469
296,-782031.25,659.900386580453
297,-780957.03125,651.7332546482264
298,-779882.8125,668.3491086056271
299,-778808.59375,664.7255734779908
300,-777734.375,672.4186740918706
301,-776660.15625,667.7137714572541
302,-775585.9375,666.6873479887273
303,-774511.71875,673.852249244876
304,-773437.5,658.8816495552699
305,-772363.28125,684.5789040941269
306,-771289.0625,681.5653814411198
307,-770214.84375,689.4586235685565
308,-769140.625,667.873681121736
309,-768066.40625,675.3428052656599
310,-766992.1875,677.5074134193717
311,-765917.96875,673.6454589386256
312,-764843.75,679.7398505557092
313,-763769.53125,691.4240222432401
314,-762695.3125,681.5949118908236
315,-761621.09375,697.0446285713801
316,-760546.875,672.6364607176313
317,-759472.65625,679.0380332838653
318,-758398.4375,686.8754511267366
319,-757324.21875,677.2043670760887
320,-756250.0,693.8459377738701
321,-755175.78125,694.9094135649759
322,-754101.5625,696.6331827558096
323,-753027.34375,690.9126855925406
324,-751953.125,694.2976444026377
325,-750878.90625,686.5194290406305
326,-749804.6875,687.755493233043
327,-748730.46875,690.7391087307822
328,-747656.25,693.8874285373005
329,-746582.03125,698.7465084547352
330,-745507.8125,706.6461782789451
331,-744433.59375,706.3804877700974
332,-743359.375,697.8991378011547
333,-742285.15625,693.5292719979587
334,-741210.9375,695.4277172515541
335,-740136.71875,694.8138331388078
336,-739062.5,690.3468012933479
337,-737988.28125,718.5092363268316
338,-736914.0625,709.5058450048505
339,-735839.84375,715.4662996042972
340,-734765.625,706.3395353572519
341,-733691.40625,704.8411118410112
342,-732617.1875,690.9193755523088
343,-731542.96875,703.3293842937192
344,-730468.75,709.1372631738632
345,-729394.53125,696.3662351546757
346,-728320.3125,707.0357017917172
347,-727246.09375,719.0099903345267
348,-726171.875,711.8268200200507
349,-725097.65625,708.7977294418611
350,-724023.4375,718.6594408492901
351,-722949.21875,709.5029860179554
352,-721875.0,707.4969277943197
353,-720800.78125,715.3545929592954
354,-719726.5625,706.0735500352007
355,-718652.34375,720.0510422352112
356,-717578.125,713.585471985202
357,-716503.90625,713.5292977046744
358,-715429.6875,713.5196143867541
359,-714355.46875,722.0139606226942
360,-713281.25,716.1956712852552
361,-712207.03125,705.7353285034494
362,-711132.8125,731.237846596573
363,-710058.59375,703.9894861682812
364,-708984.375,702.6778988632818
365,-707910.15625,724.0828156584869
366,-706835.9375,714.9668706724266
367,-705761.71875,720.5380520017364
368,-704687.5,727.7119043151004
369,-703613.28125,721.3077807277631
370,-702539.0625,706.9232451533237
371,-701464.84375,724.9646966439763
372,-700390.625,726.1541485658638
373,-699316.40625,713.988120131013
374,-698242.1875,723.5927097895425
375,-697167.96875,721.2155048303248
376,-696093.75,718.1388839327685
377,-695019.53125,727.1761899483326
378,-693945.3125,722.5089319197677
379,-692871.09375,722.8942779172694
380,-691796.875,730.9630529315631
381,-690722.65625,710.7560603485086
382,-689648.4375,723.1988551603202
383,-688574.21875,730.9508976289641
384,-687500.0,732.6396269039491
385,-686425.78125,737.3379904764074
386,-685351.5625,723.7626869798393
387,-684277.34375,715.0053106780406
388,-683203.125,725.8313270845579
389,-682128.90625,722.910267691257
390,-681054.6875,725.2167644071122
391,-679980.46875,720.7248617887938
392,-678906.25,727.200060685082
393,-677832.03125,716.8508757871992
394,-676757.8125,732.6572493587563
395,-675683.59375,716.6256983389305
396,-674609.375,725.2861950280968
397,-673535.15625,721.9998099426208
398,-672460.9375,717.7513586823951
399,-671386.71875,726.2559848643247
400,-670312.5,721.653640341433
401,-669238.28125,712.2690982665756
402,-668164.0625,729.6817838477012
403,-667089.84375,729.9891865770351
404,-666015.625,725.6974654257078
405,-664941.40625,725.1508104365347
406,-663867.1875,734.0365655668983
407,-662792.96875,715.2102251287831
408,-661718.75,727.2285648163033
409,-660644.53125,720.1001024098242
410,-659570.3125,723.8385382286133
411,-658496.09375,726.7429515465129
412,-657421.875,730.5767142536116
413,-656347.65625,719.9512346656052
414,-655273.4375,728.5556785731811
415,-654199.21875,705.4497208726223
416,-653125.0,726.1723794855991
417,-652050.78125,729.1128251408951
418,-650976.5625,717.833633974159
419,-649902.34375,705.0314535082715
420,-648828.125,732.1535213091984
421,-647753.90625,718.8784929070849
422,-646679.6875,728.4592122941464
423,-645605.46875,735.813426675659
424,-644531.25,728.5643378214236
425,-643457.03125,735.0920251116858
426,-642382.8125,724.6145350703969
427,-641308.59375,734.5713886039131
428,-640234.375,729.5458184651491
429,-639160.15625,730.8427175052241
430,-638085.9375,717.7602365372979
431,-637011.71875,716.6698686433091
432,-635937.5,727.9338488728986
433,-634863.28125,726.0200403561716
434,-633789.0625,722.7257527201987
435,-632714.84375,719.4109921504402
436,-631640.625,727.7476485990516
437,-630566.40625,732.7429290130921
438,-629492.1875,722.8852661041715
439,-628417.96875,716.3730176722762
440,-627343.75,729.502254264663
441,-626269.53125,709.5095153360658
442,-625195.3125,713.6037584651086
443,-624121.09375,717.6380795570699
444,-623046.875,712.7963001396308
445,-621972.65625,724.6413246951722
446,-620898.4375,728.5207469140698
447,-619824.21875,733.0385543389443
448,-618750.0,739.3356473145357
449,-617675.78125,726.6951450533813
450,-616601.5625,720.771254611754
451,-615527.34375,720.6940622252017
452,-614453.125,711.6480878642275
453,-613378.90625,712.9405278999066
454,-612304.6875,723.9734970751296
455,-611230.46875,714.4031697101734
456,-610156.25,726.9944837290944
457,-609082.03125,715.9154740612175
458,-608007.8125,714.7455056744776
459,-606933.59375,724.5036841769587
460,-605859.375,714.5673349776101
461,-604785.15625,709.5075562543883
462,-603710.9375,721.8292043258067
463,-602636.71875,717.7031267659099
464,-601562.5,707.8032689518403
465,-600488.28125,717.9563309861202
466,-599414.0625,714.5569074224438
467,-598339.84375,716.2445818018783
468,-597265.625,707.928359077253
469,-596191.40625,713.9623495133528
470,-595117.1875,710.1170317545834
471,-594042.96875,724.5892010943022
472,-592968.75,704.4012945486515
473,-591894.53125,713.0378272139915
474,-590820.3125,700.7247515332726
475,-589746.09375,717.5183175578344
476,-588671.875,708.5367017888196
477,-587597.65625,723.2221426240116
478,-586523.4375,700.2018499123132
479,-585449.21875,711.6321786116928
480,-584375.0,703.1624721521184
481,-583300.78125,716.4504952573169
482,-582226.5625,694.9065976671458
483,-581152.34375,717.5395570390298
484,-580078.125,705.0475431103196
485,-579003.90625,712.8178701309917
486,-577929.6875,710.8453235743267
487,-576855.46875,707.2158726218145
488,-575781.25,708.1343706812451
489,-574707.03125,713.7559908256488
490,-573632.8125,691.9343028711611
491,-572558.59375,696.9099328040459
492,-571484.375,708.8721956897746
493,-570410.15625,706.3341753408129
494,-569335.9375,697.6398507697926
495,-568261.71875,709.1417007261969
496,-567187.5,702.6778687185948
497,-566113.28125,695.6317641971497
498,-565039.0625,698.9970063831644
499,-563964.84375,698.7406319074744
500,-562890.625,703.5046721520857
501,-561816.40625,698.4681841340721
502,-560742.1875,690.3620199827898
503,-559667.96875,696.3147500935246
504,-558593.75,707.4843965171955
505,-557519.53125,712.0010324194235
506,-556445.3125,705.0603359090234
507,-555371.09375,711.4220948411898
508,-554296.875,692.2472348590965
509,-553222.65625,699.392101523381
510,-552148.4375,696.6167225258714
511,-551074.21875,690.3621174054538
512,-550000.0,696.5995956216044
513,-548925.78125,690.8370558031759
514,-547851.5625,691.6839842151978
515,-546777.34375,688.2978528983208
516,-545703.125,695.1970753863802
517,-544628.90625,695.1129097279257
518,-543554.6875,694.1750738046951
519,-542480.46875,687.6660072370629
520,-541406.25,681.5051884522371
521,-540332.03125,689.2505357774594
522,-539257.8125,692.9694461266705
523,-538183.59375,701.8245765231826
524,-537109.375,700.3389540963494
525,-536035.15625,688.8878529759073
526,-534960.9375,688.8583174776644
527,-533886.71875,693.3145798725419
528,-532812.5,683.9088366929057
529,-531738.28125,692.7576608843212
530,-530664.0625,688.4410159558693
531,-529589.84375,680.9956492537929
532,-528515.625,688.1882295504282
533,-527441.40625,687.0643999490945
