,f,a
0,-1100000.0,595.4545704321093
1,-1098925.78125,602.9296199380126
2,-1097851.5625,600.2758043513273
3,-1096777.34375,592.0881993123945
4,-1095703.125,598.1491211221633
5,-1094628.90625,609.9396335140104
6,-1093554.6875,605.4972144389204
7,-1092480.46875,597.7434193250091
8,-1091406.25,610.0607920365745
9,-1090332.03125,598.13472113533
10,-1089257.8125,601.2716570706056
11,-1088183.59375,595.6454686822127
12,-1087109.375,609.3244417086594
13,-1086035.15625,607.9238621761177
14,-1084960.9375,598.4574240851452
15,-1083886.71875,604.18486312009
16,-1082812.5,602.6151531651265
17,-1081738.28125,602.1763575053217
18,-1080664.0625,604.9421984753646
19,-1079589.84375,606.4419952772784
20,-1078515.625,599.4081853413747
21,-1077441.40625,601.1413340718049
22,-1076367.1875,605.1601990000801
23,-1075292.96875,609.4350165610392
24,-1074218.75,609.1293142252854
25,-1073144.53125,615.4079830295965
26,-1072070.3125,610.1757139415726
27,-1070996.09375,606.1190683245534
28,-1069921.875,626.6103843642595
29,-1068847.65625,620.6717717461707
30,-1067773.4375,607.5639014168285
31,-1066699.21875,614.4568997605688
32,-1065625.0,617.5046704354716
33,-1064550.78125,610.8610587004367
34,-1063476.5625,620.0353588466594
35,-1062402.34375,614.1028114804872
36,-1061328.125,616.3069934395015
37,-1060253.90625,630.8312123075542
38,-1059179.6875,613.0425412459488
39,-1058105.46875,620.3951040729187
40,-1057031.25,628.0733330448282
41,-1055957.03125,621.0084771205373
42,-1054882.8125,617.6602423160404
43,-1053808.59375,633.4580998873932
44,-1052734.375,626.4827972737198
45,-1051660.15625,632.1755514300571
46,-1050585.9375,643.3954247314359
47,-1049511.71875,643.7402313257646
48,-1048437.5,644.5990832326385
49,-1047363.28125,641.3414636649188
50,-1046289.0625,651.958679146986
51,-1045214.84375,652.219832672679
52,-1044140.625,648.6704834955398
53,-1043066.40625,654.6045827869
54,-1041992.1875,643.5613285166783
55,-1040917.96875,654.3599418537922
56,-1039843.75,654.1848134609141
57,-1038769.53125,650.8820799780276
58,-1037695.3125,664.4602561194238
59,-1036621.09375,660.7231334714139
60,-1035546.875,651.0489923918423
61,-1034472.65625,682.8452845179701
62,-1033398.4375,678.528298021846
63,-1032324.21875,652.9188270838896
64,-1031250.0,692.8444972762323
65,-1030175.78125,676.0831202568114
66,-1029101.5625,695.5356740157366
67,-1028027.34375,686.805640900042
68,-1026953.125,690.1419500862609
69,-1025878.90625,679.5313664459635
70,-1024804.6875,703.1674226346786
71,-1023730.46875,682.8937935069143
72,-1022656.25,694.3129181421268
73,-1021582.03125,698.0195620677412
74,-1020507.8125,698.9768691802061
75,-1019433.59375,702.4356494741492
76,-1018359.375,717.3365214562469
77,-1017285.15625,728.0299751916064
78,-1016210.9375,695.3824408807724
79,-1015136.71875,712.2063120996062
80,-1014062.5,715.9632234783037
81,-1012988.28125,701.1198094186053
82,-1011914.0625,720.8353016070429
83,-1010839.84375,716.2516243904984
84,-1009765.625,731.0379156212742
85,-1008691.40625,727.9781610616429
86,-1007617.1875,724.0512696900021
87,-1006542.96875,737.6041830399207
88,-1005468.75,745.2614256572336
89,-1004394.53125,745.652939821167
90,-1003320.3125,742.2824487111501
91,-1002246.09375,761.997843505322
92,-1001171.875,759.418595159442
93,-1000097.65625,757.3039157897437
94,-999023.4375,758.3210307061562
95,-997949.21875,766.0010590092003
96,-996875.0,766.2876837173577
97,-995800.78125,768.4516271074694
98,-994726.5625,782.199599961114
99,-993652.34375,786.9547762370387
100,-992578.125,786.9929106949083
101,-991503.90625,775.0049394325805
102,-990429.6875,782.261502418116
103,-989355.46875,794.4900917161639
104,-988281.25,791.6145028332401
105,-987207.03125,804.2103064318736
106,-986132.8125,807.7708673612126
107,-985058.59375,794.4144727454224
108,-983984.375,796.9659706468666
109,-982910.15625,829.836950516226
110,-981835.9375,812.466084498456
111,-980761.71875,821.1012512274699
112,-979687.5,824.6092700099131
113,-978613.28125,820.7269140937707
114,-977539.0625,818.6649988030229
115,-976464.84375,838.8194424456118
116,-975390.625,824.442991180864
117,-974316.40625,830.5906328532003
118,-973242.1875,843.7380380111747
119,-972167.96875,837.120966221264
120,-971093.75,840.6014980769016
121,-970019.53125,858.122781763771
122,-968945.3125,852.1940889364266
123,-967871.09375,875.048083896323
124,-966796.875,875.2931138111504
125,-965722.65625,873.147365619087
126,-964648.4375,877.2988816761527
127,-963574.21875,878.8510271994285
128,-962500.0,878.4456263906071
129,-961425.78125,883.5266505171984
130,-960351.5625,881.9036940756919
131,-959277.34375,905.956316576035
132,-958203.125,905.420272321873
133,-957128.90625,915.1334830620635
134,-956054.6875,904.2079668939864
135,-954980.46875,924.016815391474
136,-953906.25,922.6715643965304
137,-952832.03125,920.9665381260497
138,-951757.8125,939.3442166664164
139,-950683.59375,932.4192064988915
140,-949609.375,944.2184222264511
141,-948535.15625,939.9383769063043
142,-947460.9375,945.5697738879284
143,-946386.71875,923.6089001599055
144,-945312.5,946.6658788152598
145,-944238.28125,950.4266395919205
146,-943164.0625,956.1801320327371
147,-942089.84375,960.6083637346755
148,-941015.625,962.4143875288482
149,-939941.40625,979.0360160785826
150,-938867.1875,976.9482010662347
151,-937792.96875,994.7634768626882
152,-936718.75,972.2564790025299
153,-935644.53125,971.7442050922539
154,-934570.3125,979.7383233765248
155,-933496.09375,992.7656763225349
156,-932421.875,993.6988702997453
157,-931347.65625,1002.7909048154205
158,-930273.4375,1004.0880444221439
159,-929199.21875,1003.7617117702249
160,-928125.0,1021.1146216868705
161,-927050.78125,1020.9480575832628
162,-925976.5625,1033.7799226232974
163,-924902.34375,1021.4954298323479
164,-923828.125,1031.7852970428733
165,-922753.90625,1034.315280002218
166,-921679.6875,1056.002780427776
167,-920605.46875,1044.3051849209978
168,-919531.25,1062.0938354053221
169,-918457.03125,1053.1423310929333
170,-917382.8125,1064.932759340893
171,-916308.59375,1069.23347054471
172,-915234.375,1054.4515104176453
173,-914160.15625,1061.0347873592923
174,-913085.9375,1086.7715208207446
175,-912011.71875,1053.2253088140494
176,-910937.5,1082.1436837114384
177,-909863.28125,1098.0010732866403
178,-908789.0625,1097.3531406683524
179,-907714.84375,1092.3112142336006
180,-906640.625,1102.381093718656
181,-905566.40625,1101.7004987157886
182,-904492.1875,1108.2697033870475
183,-903417.96875,1119.0699755075898
184,-902343.75,1124.078427366817
185,-901269.53125,1120.662244201294
186,-900195.3125,1122.7789255925945
187,-899121.09375,1144.1630210954143
188,-898046.875,1159.8187868930913
189,-896972.65625,1150.498329503929
190,-895898.4375,1153.5845443368478
191,-894824.21875,1151.2882764661338
192,-893750.0,1162.5701377007836
193,-892675.78125,1171.5639343277205
194,-891601.5625,1187.9622248028704
195,-890527.34375,1168.0147009336288
196,-889453.125,1179.991212847163
197,-888378.90625,1153.4517885722603
198,-887304.6875,1190.2500990555172
199,-886230.46875,1202.8881688489178
200,-885156.25,1177.732052916551
201,-884082.03125,1198.4106177628187
202,-883007.8125,1193.0391254942504
203,-881933.59375,1215.0133900574724
204,-880859.375,1220.1130415348052
205,-879785.15625,1223.3448916721634
206,-878710.9375,1237.3401005837347
207,-877636.71875,1234.4533135450583
208,-876562.5,1243.779246651889
209,-875488.28125,1249.5527070839519
210,-874414.0625,1227.8834233103858
211,-873339.84375,1263.7746407330621
212,-872265.625,1242.468370140895
213,-871191.40625,1259.549462554518
214,-870117.1875,1239.3230752025133
215,-869042.96875,1268.8492410547492
216,-867968.75,1267.869570019947
217,-866894.53125,1257.815877538142
218,-865820.3125,1271.6338282378179
219,-864746.09375,1294.5757974165108
220,-863671.875,1285.2932686558172
221,-862597.65625,1274.1168795941028
222,-861523.4375,1286.5210885537
223,-860449.21875,1284.7583318424631
224,-859375.0,1301.4536073883285
225,-858300.78125,1287.4299354668592
226,-857226.5625,1331.3561394778471
227,-856152.34375,1296.8461171249407
228,-855078.125,1318.5139849248626
229,-854003.90625,1313.3723086142802
230,-852929.6875,1323.195125415258
231,-851855.46875,1351.0953484098948
232,-850781.25,1364.3395423204943
233,-849707.03125,1330.0232709716186
234,-848632.8125,1338.3567348644492
235,-847558.59375,1326.9391791652934
236,-846484.375,1349.251058495198
237,-845410.15625,1345.7337251804051
238,-844335.9375,1360.9886520831044
239,-843261.71875,1341.0629284052666
240,-842187.5,1363.1941968125284
241,-841113.28125,1366.1499981100199
242,-840039.0625,1370.1444268311702
243,-838964.84375,1371.388923098835
244,-837890.625,1384.3031529544967
245,-836816.40625,1404.3920360309805
246,-835742.1875,1395.083152206308
247,-834667.96875,1394.9434844279067
248,-833593.75,1413.1714464117506
249,-832519.53125,1385.896403982954
250,-831445.3125,1418.5248090790876
251,-830371.09375,1383.7535155132484
252,-829296.875,1409.9957920296965
253,-828222.65625,1406.6732059939702
254,-827148.4375,1405.5740764497746
255,-826074.21875,1442.648382721526
256,-825000.0,1427.3021491158395
257,-823925.78125,1417.000022952111
258,-822851.5625,1454.4528844910901
259,-821777.34375,1426.992026359408
260,-820703.125,1458.362224119995
261,-819628.90625,1467.5160818858642
262,-818554.6875,1441.3620661222237
263,-817480.46875,1444.0957190089769
264,-816406.25,1429.2364506766364
265,-815332.03125,1453.062925109094
266,-814257.8125,1463.8214035776127
267,-813183.59375,1462.7836603961862
268,-812109.375,1481.8357282413263
269,-811035.15625,1478.7681971539128
270,-809960.9375,1480.053561117168
271,-808886.71875,1492.605584924868
272,-807812.5,1498.5255752060439
273,-806738.28125,1514.3511607883488
274,-805664.0625,1499.074901236056
275,-804589.84375,1492.3314372136952
276,-803515.625,1483.9336272855649
277,-802441.40625,1536.6174571344372
278,-801367.1875,1512.5363740927628
279,-800292.96875,1497.0873822680653
280,-799218.75,1548.340182835765
281,-798144.53125,1504.3408485975858
282,-797070.3125,1517.7772933332901
283,-795996.09375,1494.146710712654
284,-794921.875,1547.890540906096
285,-793847.65625,1530.388514835416
286,-792773.4375,1534.1572086010442
287,-791699.21875,1526.805893768453
