,all_voltages,all_times
0,-0.00019,1646714659.0039349
1,-0.000185,1646714664.993879
2,-0.000187,1646714670.993897
3,-0.000184,1646714676.993863
4,-0.00018,1646714682.993858
5,-0.00018,1646714688.993893
6,-0.00018,1646714694.992233
7,-0.000178,1646714700.9922252
8,-0.000178,1646714706.993694
9,-0.000181,1646714712.9939322
10,-0.000181,1646714718.993934
11,-0.000182,1646714724.9939141
12,-0.000186,1646714730.993931
13,-0.000186,1646714736.993922
14,-0.000182,1646714742.9939353
15,-0.000182,1646714748.9939208
16,-0.000182,1646714754.993917
17,-0.000181,1646714760.9939935
18,-0.000179,1646714766.9939122
19,-0.000179,1646714772.993941
20,-0.000182,1646714778.9939241
21,-0.000182,1646714784.993901
22,-0.000184,1646714790.988494
23,-0.000185,1646714796.9939125
24,-0.000183,1646714802.9939072
25,-0.000183,1646714808.993929
26,-0.000184,1646714814.9939253
27,-0.000183,1646714820.9939198
28,-0.00019,1646714826.9938529
29,-0.000182,1646714832.9939191
30,-0.000182,1646714838.9939008
31,-0.00018,1646714844.9939208
32,-0.000181,1646714850.993866
33,-0.000186,1646714856.9922326
34,-0.000181,1646714862.9938545
35,-0.000187,1646714868.993912
36,-0.000185,1646714874.9938993
37,-0.000185,1646714880.9939277
38,-0.000184,1646714886.9939275
39,-0.000183,1646714892.993934
40,-0.000183,1646714898.9939382
41,-0.000184,1646714904.9939027
42,-0.000184,1646714910.993935
43,-0.000183,1646714916.9922717
44,-0.000181,1646714922.993913
45,-0.000182,1646714928.993813
46,-0.000183,1646714934.9939075
47,-0.000182,1646714940.9939346
48,-0.000182,1646714946.9939086
49,-0.000183,1646714952.993877
50,-0.00018,1646714958.9939122
51,-0.00018,1646714964.9922597
52,-0.000186,1646714970.993905
53,-0.000182,1646714976.9939067
54,-0.000187,1646714982.9938233
55,-0.000184,1646714988.9939039
56,-0.000186,1646714994.9939568
57,-0.000184,1646715000.9939146
58,-0.000186,1646715006.9939256
59,-0.000185,1646715012.9939134
60,-0.000184,1646715018.993906
61,-0.000186,1646715024.9938943
62,-0.000187,1646715030.9938672
63,-0.000188,1646715036.9939249
64,-0.000189,1646715042.99381
65,-0.00019,1646715048.9937513
66,-0.000188,1646715054.993895
67,-0.000187,1646715060.9939337
68,-0.000183,1646715066.993918
69,-0.000187,1646715072.993926
70,-0.00018,1646715078.9938648
71,-0.000182,1646715084.9938447
72,-0.000186,1646715090.993909
73,-0.000187,1646715096.9939094
74,-0.000185,1646715102.9939146
75,-0.000183,1646715108.9938939
76,-0.000185,1646715114.993886
77,-0.000188,1646715120.993936
78,-0.000184,1646715126.993895
79,-0.000185,1646715132.9939103
80,-0.000188,1646715138.993932
81,-0.000188,1646715144.9939353
82,-0.000189,1646715150.9938238
83,-0.000191,1646715156.9939406
84,-0.00019,1646715162.993913
85,-0.000184,1646715168.9939036
86,-0.000188,1646715174.9938905
87,-0.000182,1646715180.993918
88,-0.000181,1646715186.9938936
89,-0.000185,1646715192.993869
90,-0.000183,1646715198.9939408
91,-0.00019,1646715204.9939153
92,-0.00019,1646715210.9939215
93,-0.000188,1646715216.9938803
94,-0.000187,1646715222.9939144
95,-0.000185,1646715228.993908
96,-0.000183,1646715234.9939144
97,-0.000184,1646715240.9939458
98,-0.000188,1646715246.9939182
99,-0.000188,1646715252.993899
100,-0.000189,1646715258.993921
101,-0.000187,1646715264.9938834
102,-0.000188,1646715270.993911
103,-0.000186,1646715276.993907
104,-0.000184,1646715282.9938412
105,-0.000186,1646715288.993932
106,-0.000184,1646715294.993904
107,-0.000186,1646715300.9938734
108,-0.000189,1646715306.9939284
109,-0.000188,1646715312.9920213
110,-0.000188,1646715318.9939272
111,-0.000184,1646715324.9939084
112,-0.000182,1646715330.9938965
113,-0.000184,1646715336.9938998
114,-0.000188,1646715342.9938889
115,-0.000189,1646715348.993902
116,-0.000189,1646715354.9939086
117,-0.000186,1646715360.9938912
118,-0.00019,1646715366.9939003
119,-0.000187,1646715372.993875
120,-0.000184,1646715378.9938889
121,-0.000187,1646715384.9938927
122,-0.000187,1646715390.9939222
123,-0.000188,1646715396.9938936
124,-0.000184,1646715402.9939046
125,-0.00019,1646715408.993894
126,-0.000187,1646715414.9939077
127,-0.000187,1646715420.9938524
128,-0.000186,1646715426.99389
129,-0.000186,1646715432.993882
130,-0.000187,1646715438.9939144
131,-0.000189,1646715444.9938655
132,-0.000185,1646715450.9938924
133,-0.000186,1646715456.9938974
134,-0.000183,1646715462.9938922
135,-0.000183,1646715468.9938748
136,-0.000186,1646715474.9938948
137,-0.000186,1646715480.9938948
138,-0.000185,1646715486.9938934
139,-0.000187,1646715492.993785
140,-0.00019,1646715498.9939017
141,-0.000187,1646715504.993896
142,-0.000187,1646715510.993903
143,-0.000188,1646715516.9939008
144,-0.000186,1646715523.0042694
145,-0.000189,1646715528.9938753
146,-0.000184,1646715534.993874
147,-0.000188,1646715540.993882
148,-0.000189,1646715546.9938416
149,-0.000185,1646715552.993912
150,-0.000186,1646715558.9938939
151,-0.000186,1646715564.9938846
152,-0.000185,1646715570.9938934
153,-0.000186,1646715576.9938855
154,-0.000188,1646715582.9939084
155,-0.000187,1646715588.9938958
156,-0.000186,1646715594.9938748
157,-0.000187,1646715600.9938877
158,-0.000191,1646715606.9938445
159,-0.000192,1646715612.9936917
160,-0.000187,1646715618.9938698
161,-0.00019,1646715624.993882
162,-0.00019,1646715630.9939046
163,-0.000185,1646715636.9938824
164,-0.000187,1646715642.9938898
165,-0.000185,1646715648.9938846
166,-0.000186,1646715654.9939103
167,-0.000184,1646715660.9938776
168,-0.000186,1646715666.9938853
169,-0.000191,1646715672.9936397
170,-0.000185,1646715678.9938717
171,-0.000185,1646715684.9939046
172,-0.000189,1646715690.993874
173,-0.000187,1646715696.9938982
174,-0.00019,1646715702.9938896
175,-0.000189,1646715708.9939122
176,-0.000191,1646715714.9938977
177,-0.00019,1646715720.9938908
178,-0.00019,1646715726.9939275
179,-0.000187,1646715732.9936864
180,-0.00019,1646715738.9938998
181,-0.000186,1646715744.9939125
182,-0.000189,1646715750.9938939
183,-0.000189,1646715756.98837
184,-0.000189,1646715762.993837
185,-0.000189,1646715768.9938939
186,-0.000189,1646715774.993881
187,-0.000188,1646715780.9939086
188,-0.00019,1646715786.9938836
189,-0.000188,1646715792.9936428
190,-0.000189,1646715798.9938865
191,-0.000192,1646715804.9939024
192,-0.000193,1646715810.9938781
193,-0.000195,1646715816.9939075
194,-0.00019,1646715822.993882
195,-0.000193,1646715828.9939332
196,-0.000193,1646715834.993905
197,-0.000191,1646715840.9938846
198,-0.000191,1646715846.9938824
199,-0.000191,1646715852.993622
200,-0.000193,1646715858.993877
201,-0.000192,1646715864.993799
202,-0.00019,1646715870.993896
203,-0.00019,1646715876.9958963
204,-0.000188,1646715882.993882
205,-0.00019,1646715888.9938862
206,-0.000192,1646715894.9938858
207,-0.000193,1646715900.9938836
208,-0.000191,1646715906.9939244
209,-0.00019,1646715912.9939206
210,-0.000191,1646715918.9939094
211,-0.00019,1646715924.9939008
212,-0.000191,1646715930.9923222
213,-0.000188,1646715936.9938948
214,-0.000187,1646715942.9938889
215,-0.00019,1646715948.9938219
216,-0.000189,1646715954.9939504
217,-0.000189,1646715960.99387
218,-0.000188,1646715966.9939015
219,-0.000187,1646715972.993889
220,-0.000187,1646715978.993894
221,-0.000186,1646715984.9938622
222,-0.000187,1646715990.9938803
223,-0.000191,1646715996.9939382
224,-0.000193,1646716002.9938996
225,-0.000192,1646716008.9938867
226,-0.000192,1646716014.993875
227,-0.000193,1646716021.0205321
228,-0.000192,1646716026.993866
229,-0.000194,1646716032.9939158
230,-0.000194,1646716038.9939096
231,-0.00019,1646716044.9939175
232,-0.000188,1646716050.9939003
233,-0.000188,1646716056.9939053
234,-0.000189,1646716062.9939032
235,-0.00019,1646716068.993905
236,-0.000191,1646716074.9939044
237,-0.000193,1646716080.993906
238,-0.000189,1646716086.9938958
239,-0.000187,1646716092.9939191
240,-0.000188,1646716098.9938984
241,-0.000188,1646716104.9938798
242,-0.00019,1646716110.9938984
243,-0.000189,1646716116.9939017
244,-0.000191,1646716122.993904
245,-0.000191,1646716128.9938993
246,-0.00019,1646716134.993904
247,-0.000188,1646716140.9939117
248,-0.000189,1646716146.993904
249,-0.000191,1646716152.9939296
250,-0.000191,1646716158.9939222
251,-0.000192,1646716164.9939013
252,-0.00019,1646716170.993895
253,-0.000187,1646716176.9938908
254,-0.000191,1646716182.993899
255,-0.000186,1646716188.993895
256,-0.000189,1646716194.993908
257,-0.00019,1646716200.9939065
258,-0.00019,1646716206.9938936
259,-0.000188,1646716212.9939144
260,-0.000189,1646716218.9939177
261,-0.000191,1646716224.9938843
262,-0.000191,1646716230.993891
263,-0.00019,1646716236.9938924
264,-0.00019,1646716242.993896
265,-0.000192,1646716248.993913
266,-0.000192,1646716254.9939132
267,-0.000192,1646716260.9939044
268,-0.000192,1646716266.9939003
269,-0.000188,1646716272.9939327
270,-0.000185,1646716278.993911
271,-0.000184,1646716284.9938958
272,-0.000184,1646716290.993674
273,-0.000186,1646716296.993869
274,-0.000191,1646716302.9939039
275,-0.000189,1646716308.9939032
276,-0.00019,1646716314.9939184
277,-0.000195,1646716320.993905
278,-0.000192,1646716326.9938984
279,-0.00019,1646716332.9938965
280,-0.000195,1646716338.9939146
281,-0.000197,1646716344.9938982
282,-0.000195,1646716350.9939456
283,-0.000196,1646716356.9938731
284,-0.000193,1646716362.993906
285,-0.00019,1646716368.9938812
286,-0.000189,1646716374.9938962
