,Voltages,Times
0,3.6e-05,1647448183.9096913
1,3.5e-05,1647448188.8714926
2,3.4e-05,1647448193.8715203
3,3e-05,1647448198.8715177
4,2.9e-05,1647448203.8715045
5,2.7e-05,1647448208.871489
6,2.9e-05,1647448213.8714917
7,3.2e-05,1647448218.871518
8,3.3e-05,1647448223.8715563
9,3.3e-05,1647448228.8715074
10,3.3e-05,1647448233.8715358
11,3.5e-05,1647448238.8715374
12,3.3e-05,1647448243.871534
13,3.6e-05,1647448248.8715067
14,3.6e-05,1647448253.871526
15,3.5e-05,1647448258.8715
16,3.2e-05,1647448263.8714914
17,3.2e-05,1647448268.871483
18,3.5e-05,1647448273.8715057
19,3.6e-05,1647448278.8715384
20,4e-05,1647448283.8693342
21,4e-05,1647448288.8715117
22,3.8e-05,1647448293.8715265
23,3.9e-05,1647448298.8714988
24,4e-05,1647448303.8715167
25,3.7e-05,1647448308.8715074
26,3.9e-05,1647448313.8715096
27,3.9e-05,1647448318.8715072
28,3.9e-05,1647448323.8715577
29,3.8e-05,1647448328.8715446
30,3.5e-05,1647448333.8714995
31,3.3e-05,1647448338.8714561
32,3.6e-05,1647448343.8715663
33,3.7e-05,1647448348.8715346
34,3.7e-05,1647448353.8715281
35,3.7e-05,1647448358.871449
36,3.7e-05,1647448363.8714838
37,3.6e-05,1647448368.871508
38,3.5e-05,1647448373.8714557
39,3.3e-05,1647448378.8715062
40,3e-05,1647448383.8715127
41,3.2e-05,1647448388.8715234
42,3.4e-05,1647448393.8715367
43,3.8e-05,1647448398.8714979
44,4e-05,1647448403.8715158
45,4.2e-05,1647448408.871492
46,4.2e-05,1647448413.8714836
47,4.3e-05,1647448418.871472
48,4e-05,1647448423.8714871
49,4.1e-05,1647448428.8715127
50,4.2e-05,1647448433.8715441
51,4.2e-05,1647448438.8714595
52,3.8e-05,1647448443.8715262
53,3.6e-05,1647448448.8714283
54,3.9e-05,1647448453.8715422
55,4e-05,1647448458.8714395
56,4.2e-05,1647448463.8692505
57,4.2e-05,1647448468.8715563
58,4.2e-05,1647448473.871478
59,4e-05,1647448478.871486
60,4e-05,1647448483.8715358
61,4.1e-05,1647448488.8713717
62,4.3e-05,1647448493.871367
63,4.2e-05,1647448498.8713
64,4.1e-05,1647448503.8714144
65,4.1e-05,1647448508.8714278
66,4.2e-05,1647448513.8714175
67,4e-05,1647448518.87128
68,4e-05,1647448523.8714724
69,3.9e-05,1647448528.8713858
70,3.9e-05,1647448533.8713808
71,3.7e-05,1647448538.8713295
72,3.8e-05,1647448543.8714225
73,4e-05,1647448548.8715203
74,3.9e-05,1647448553.8713257
75,3.7e-05,1647448558.8713303
76,3.8e-05,1647448563.8714917
77,3.4e-05,1647448568.8713706
78,3.2e-05,1647448573.871435
79,3.3e-05,1647448578.8714135
80,3.2e-05,1647448583.8714795
81,3.3e-05,1647448588.8715134
82,3.8e-05,1647448593.871396
83,3.9e-05,1647448598.8714619
84,4.1e-05,1647448603.8715298
85,4.2e-05,1647448608.871546
86,4.4e-05,1647448613.8713205
87,4.2e-05,1647448618.871443
88,4.2e-05,1647448623.8716018
89,4.2e-05,1647448628.871532
90,4.2e-05,1647448633.8714871
91,4.3e-05,1647448638.8714473
92,4.4e-05,1647448643.871533
93,4.3e-05,1647448648.8714492
94,4.4e-05,1647448653.8714101
