,Voltages,Times
0,-0.000317,1648655910.1241767
1,-0.000512,1648655915.0872853
2,-0.000556,1648655920.0872734
3,-0.000781,1648655925.0872555
4,-0.000943,1648655930.0870702
5,-0.000937,1648655935.0869894
6,-0.000769,1648655940.0872443
7,-0.000388,1648655945.0872626
8,-6.2e-05,1648655950.0871527
9,9e-05,1648655955.0871232
10,0.000131,1648655960.0872886
11,1.6e-05,1648655965.087289
12,-0.000268,1648655970.087264
13,-0.000638,1648655975.0872858
14,-0.000907,1648655980.0873563
15,-0.000965,1648655985.0872538
16,-0.000809,1648655990.0871358
17,-0.000455,1648655995.0870936
18,-7e-05,1648656000.0872238
19,0.000276,1648656005.0872192
20,0.000389,1648656010.087223
21,0.000295,1648656015.087017
22,-6.6e-05,1648656020.0872974
23,-0.000466,1648656025.087252
24,-0.000793,1648656030.0871491
25,-0.000974,1648656035.0871987
26,-0.000848,1648656040.0871742
27,-0.000546,1648656045.0872855
28,-0.000105,1648656050.087235
29,0.000211,1648656055.0870197
30,0.000419,1648656060.087261
31,0.000386,1648656065.0872838
32,6.6e-05,1648656070.0871506
33,-0.000326,1648656075.0872602
34,-0.000731,1648656080.087317
35,-0.000956,1648656085.087252
36,-0.000973,1648656090.0872602
37,-0.000719,1648656095.0871894
38,-0.000308,1648656100.0871983
39,0.000153,1648656105.0872242
40,0.000407,1648656110.0871217
41,0.000386,1648656115.0870805
42,0.000137,1648656120.087229
43,-0.000267,1648656125.0872154
44,-0.000703,1648656130.0871747
45,-0.000994,1648656135.0870602
46,-0.001089,1648656140.0872254
47,-0.000834,1648656145.0873148
48,-0.000423,1648656150.0871618
49,-2.3e-05,1648656155.087322
50,0.000276,1648656160.0873003
51,0.000358,1648656165.0873208
52,0.000215,1648656170.087313
53,-0.000138,1648656175.0871327
54,-0.000584,1648656180.0872881
55,-0.000875,1648656185.087303
56,-0.000988,1648656190.087143
57,-0.00079,1648656195.087205
58,-0.000409,1648656200.0872936
59,5e-05,1648656205.0873132
60,0.000389,1648656210.0871592
61,0.000454,1648656215.0871394
62,0.000262,1648656220.0872622
