,Voltages,Times
0,-1.6e-05,1647439202.389692
1,-1.7e-05,1647439207.3814864
2,-1.4e-05,1647439212.3813767
3,-1.6e-05,1647439217.3814194
4,-1.3e-05,1647439222.381324
5,-1.5e-05,1647439227.38129
6,-1.5e-05,1647439232.381448
7,-1.4e-05,1647439237.3815348
8,-1.2e-05,1647439242.381427
9,-1.3e-05,1647439247.3815084
10,-1.1e-05,1647439252.3814049
11,-1.5e-05,1647439257.3813667
12,-1.6e-05,1647439262.3814492
13,-1.6e-05,1647439267.3814034
14,-1.6e-05,1647439272.3814309
15,-1.8e-05,1647439277.3814554
16,-1.5e-05,1647439282.3812711
17,-1.4e-05,1647439287.3813756
18,-1.4e-05,1647439292.3814085
19,-1.6e-05,1647439297.3813803
20,-1.8e-05,1647439302.3812842
21,-1.9e-05,1647439307.381435
22,-2e-05,1647439312.3813915
23,-1.9e-05,1647439317.38138
24,-2.1e-05,1647439322.3814383
25,-2.1e-05,1647439327.381501
26,-2.3e-05,1647439332.3813639
27,-2.1e-05,1647439337.381283
28,-1.8e-05,1647439342.3812585
29,-1.5e-05,1647439347.381384
30,-1.7e-05,1647439352.3814483
31,-1.7e-05,1647439357.3814745
32,-1.7e-05,1647439362.3812597
33,-1.6e-05,1647439367.381445
34,-1.3e-05,1647439372.3813467
35,-1.3e-05,1647439377.3813658
36,-1.5e-05,1647439382.381402
37,-1.7e-05,1647439387.381369
38,-1.5e-05,1647439392.3813143
39,-1.5e-05,1647439397.3814201
40,-1.6e-05,1647439402.3814018
41,-1.9e-05,1647439407.381417
42,-1.6e-05,1647439412.3814178
43,-1.4e-05,1647439417.3814404
44,-1.5e-05,1647439422.381413
45,-1.6e-05,1647439427.3814538
46,-1.5e-05,1647439432.3814547
47,-1.2e-05,1647439437.3813634
48,-1.2e-05,1647439442.3812757
49,-1.5e-05,1647439447.3814106
50,-1.6e-05,1647439452.3814576
51,-1.7e-05,1647439457.3813965
52,-1.5e-05,1647439462.3813443
53,-1.6e-05,1647439467.381439
54,-2e-05,1647439472.3813334
55,-1.9e-05,1647439477.381384
56,-1.8e-05,1647439482.3814287
57,-1.7e-05,1647439487.381535
58,-1.7e-05,1647439492.381369
59,-1.8e-05,1647439497.3813357
60,-2.1e-05,1647439502.3814812
61,-1.8e-05,1647439507.381441
62,-1.8e-05,1647439512.3813446
